Title,Authors,Published Date,Summary,ArXiv URL,PDF URL,ArXiv ID,Timestamp
"On the origins of oxygen: ALMA and JWST characterise the multi-phase, metal-enriched, star-bursting medium within a 'normal' $z > 11$ galaxy","Joris Witstok, Renske Smit, William M. Baker, Pierluigi Rinaldi, Kevin N. Hainline, Hiddo S. B. Algera, Santiago Arribas, Tom J. L. C. Bakx, Andrew J. Bunker, Stefano Carniani, Stéphane Charlot, Jacopo Chevallard, Mirko Curti, Emma Curtis-Lake, Daniel J. Eisenstein, Kasper E. Heintz, Jakob M. Helton, Gareth C. Jones, Roberto Maiolino, Michael V. Maseda, Pablo G. Pérez-González, Clara L. Pollock, Brant E. Robertson, Aayush Saxena, Jan Scholtz, Irene Shivaei, Fengwu Sun, Sandro Tacchella, Hannah Übler, Darach Watson, Chris J. Willott, Zihao Wu",2025-07-30 17:59:56,"The unexpectedly high abundance of galaxies at $z > 11$ revealed by JWST has
sparked a debate on the nature of early galaxies and the physical mechanisms
regulating their formation. The Atacama Large Millimeter/submillimeter Array
(ALMA) has begun to provide vital insights on their gas and dust content, but
so far only for extreme 'blue monsters'. Here we present new, deep ALMA
observations of JADES-GS-z11-0, a more typical (sub-$L^*$) $z > 11$ galaxy that
bridges the discovery space of JWST and the Hubble Space Telescope. These data
confirm the presence of the [O III] 88 $\mu$m line at $4.5\sigma$ significance,
precisely at the redshift of several faint emission lines previously seen with
JWST/NIRSpec, while the underlying dust continuum remains undetected ($F_\nu <
9.0 \, \mathrm{\mu Jy}$), implying an obscured star formation rate (SFR) of
$\text{SFR}_\text{IR} \lesssim 6 \, \mathrm{M_\odot \, yr^{-1}}$ and dust mass
of $M_\text{dust} \lesssim 1.0 \times 10^{6} \, \mathrm{M_\odot}$ (all
$3\sigma$). The accurate ALMA redshift of $z_\text{[O III]} = 11.1221 \pm
0.0006$ ($\gtrsim \! 5\times$ refined over NIRSpec) helps confirm that
redshifts measured purely from the Lyman-$\alpha$ break, even
spectroscopically, should properly take into account the effects of potential
damped Lyman-$\alpha$ absorption (DLA) systems to avoid systematic
overestimates of up to $\Delta z \approx 0.5$. The [O III] 88 $\mu$m luminosity
of $L_\text{[O III]} = (1.0 \pm 0.3) \times 10^{8} \, \mathrm{L_\odot}$,
meanwhile, agrees well with the scaling relation for local metal-poor dwarfs
given the SFR measured by NIRCam, NIRSpec, and MIRI. The spatially resolved
MIRI and ALMA emission also underscores that JADES-GS-z11-0 is likely to
consist of two low-mass components that are undergoing strong bursts of star
formation yet are already pre-enriched in oxygen (~30% solar), only 400 Myr
after the Big Bang.",http://arxiv.org/abs/2507.22888v1,http://arxiv.org/pdf/2507.22888v1,http://arxiv.org/abs/2507.22888v1,2025-07-31T20:15:00.165432
Where to show Demos in Your Prompt: A Positional Bias of In-Context Learning,"Kwesi Cobbina, Tianyi Zhou",2025-07-30 17:59:46,"In-context learning (ICL) is a critical emerging capability of large language
models (LLMs), enabling few-shot learning during inference by including a few
demonstrations (demos) in the prompt. However, it has been found that ICL's
performance can be sensitive to the choices of demos and their order. This
paper investigates an unexplored new positional bias of ICL for the first time:
we observe that the predictions and accuracy can drift drastically when the
positions of demos, the system prompt, and the user message in LLM input are
varied. We refer to this bias as DEMOS' POSITION IN PROMPT (DPP) bias. We
design a systematic evaluation pipeline to study this type of positional bias
across classification, question answering, summarization, and reasoning tasks.
We introduce two metrics, ACCURACY-CHANGE and PREDICTION-CHANGE, to quantify
net gains and output volatility induced by changes in the demos' position.
Extensive experiments on ten LLMs from four open-source model families (QWEN,
LLAMA3, MISTRAL, COHERE) verify that the bias significantly affects their
accuracy and predictions: placing demos at the start of the prompt yields the
most stable and accurate outputs with gains of up to +6 points. In contrast,
placing demos at the end of the user message flips over 30\% of predictions
without improving correctness on QA tasks. Smaller models are most affected by
this sensitivity, though even large models remain marginally affected on
complex tasks.",http://arxiv.org/abs/2507.22887v1,http://arxiv.org/pdf/2507.22887v1,http://arxiv.org/abs/2507.22887v1,2025-07-31T20:15:00.174979
"Viser: Imperative, Web-based 3D Visualization in Python","Brent Yi, Chung Min Kim, Justin Kerr, Gina Wu, Rebecca Feng, Anthony Zhang, Jonas Kulhanek, Hongsuk Choi, Yi Ma, Matthew Tancik, Angjoo Kanazawa",2025-07-30 17:59:31,"We present Viser, a 3D visualization library for computer vision and
robotics. Viser aims to bring easy and extensible 3D visualization to Python:
we provide a comprehensive set of 3D scene and 2D GUI primitives, which can be
used independently with minimal setup or composed to build specialized
interfaces. This technical report describes Viser's features, interface, and
implementation. Key design choices include an imperative-style API and a
web-based viewer, which improve compatibility with modern programming patterns
and workflows.",http://arxiv.org/abs/2507.22885v1,http://arxiv.org/pdf/2507.22885v1,http://arxiv.org/abs/2507.22885v1,2025-07-31T20:15:00.174979
Floquet Spin Splitting and Spin Generation in Antiferromagnets,"Bo Li, Ding-Fu Shao, Alexey A. Kovalev",2025-07-30 17:59:07,"In antiferromagnetic spintronics, accessing the spin degree of freedom is
essential for generating spin currents and manipulating magnetic order, which
generally requires lifting spin degeneracy. This is typically achieved through
relativistic spin-orbit coupling or non-relativistic spin splitting in
altermagnets. Here, we propose an alternative approach: a dynamical spin
splitting induced by an optical field in antiferromagnets. By coupling the
driven system to a thermal bath, we demonstrate the emergence of steady-state
pure spin currents, as well as linear-response longitudinal and transverse spin
currents. Crucially, thermal bath engineering allows the generation of a net
spin accumulation without relying on spin-orbit coupling. Our results provide a
broadly applicable and experimentally tunable route to control spins in
antiferromagnets, offering new opportunities for spin generation and
manipulation in antiferromagnetic spintronics.",http://arxiv.org/abs/2507.22884v1,http://arxiv.org/pdf/2507.22884v1,http://arxiv.org/abs/2507.22884v1,2025-07-31T20:15:00.174979
Operational interpretation of the Stabilizer Entropy,"Lennart Bittel, Lorenzo Leone",2025-07-30 17:58:40,"Magic-state resource theory is a fundamental framework with far-reaching
applications in quantum error correction and the classical simulation of
quantum systems. Recent advances have significantly deepened our understanding
of magic as a resource across diverse domains, including many-body physics,
nuclear and particle physics, and quantum chemistry. Central to this progress
is the stabilizer R\'enyi entropy, a computable and experimentally accessible
magic monotone. Despite its widespread adoption, a rigorous operational
interpretation of the stabilizer entropy has remained an open problem. In this
work, we provide such an interpretation in the context of quantum property
testing. By showing that the stabilizer entropy is the most robust measurable
magic monotone, we demonstrate that the Clifford orbit of a quantum state
becomes exponentially indistinguishable from Haar-random states, at a rate
governed by the stabilizer entropy $M(\psi)$ and the number of available
copies. This implies that the Clifford orbit forms an approximate state
$k$-design, with an approximation error $\Theta(\exp(-M(\psi))$. Conversely, we
establish that the optimal probability of distinguishing a given quantum state
from the set of stabilizer states is also governed by its stabilizer entropy.
These results reveal that the stabilizer entropy quantitatively characterizes
the transition from stabilizer states to universal quantum states, thereby
offering a comprehensive operational perspective of the stabilizer entropy as a
quantum resource.",http://arxiv.org/abs/2507.22883v1,http://arxiv.org/pdf/2507.22883v1,http://arxiv.org/abs/2507.22883v1,2025-07-31T20:15:00.185849
Non-classicality at equilibrium and efficient predictions under non-commuting charges,"Lodovico Scarpa, Nishan Ranabhat, Amit Te'eni, Abdulla Alhajri, Vlatko Vedral, Fabio Anza, Luis Pedro García-Pintos",2025-07-30 17:57:06,"A quantum thermodynamic system can conserve non-commuting observables, but
the consequences of this phenomenon on relaxation are still not fully
understood. We investigate this problem by leveraging an observable-dependent
approach to equilibration and thermalization in isolated quantum systems. We
extend such approach to scenarios with non-commuting charges, and show that it
can accurately estimate the equilibrium distribution of coarse observables
without access to the energy eigenvalues and eigenvectors. Our predictions do
not require weak coupling and are not restricted to local observables, thus
providing an advantage over the non-Abelian thermal state. Within this
approach, weak values and quasiprobability distributions emerge naturally and
play a crucial role in characterizing the equilibrium distributions of
observables. We show and numerically confirm that, due to charges'
non-commutativity, these weak values can be anomalous even at equilibrium,
which has been proven to be a proxy for non-classicality. Our work thus
uncovers a novel connection between the relaxation of observables under
non-commuting charges, weak values, and Kirkwood-Dirac quasiprobability
distributions.",http://arxiv.org/abs/2507.22882v1,http://arxiv.org/pdf/2507.22882v1,http://arxiv.org/abs/2507.22882v1,2025-07-31T20:15:00.185849
AUV-Fusion: Cross-Modal Adversarial Fusion of User Interactions and Visual Perturbations Against VARS,"Hai Ling, Tianchi Wang, Xiaohao Liu, Zhulin Tao, Lifang Yang, Xianglin Huang",2025-07-30 17:55:09,"Modern Visual-Aware Recommender Systems (VARS) exploit the integration of
user interaction data and visual features to deliver personalized
recommendations with high precision. However, their robustness against
adversarial attacks remains largely underexplored, posing significant risks to
system reliability and security. Existing attack strategies suffer from notable
limitations: shilling attacks are costly and detectable, and visual-only
perturbations often fail to align with user preferences. To address these
challenges, we propose AUV-Fusion, a cross-modal adversarial attack framework
that adopts high-order user preference modeling and cross-modal adversary
generation. Specifically, we obtain robust user embeddings through multi-hop
user-item interactions and transform them via an MLP into semantically aligned
perturbations. These perturbations are injected onto the latent space of a
pre-trained VAE within the diffusion model. By synergistically integrating
genuine user interaction data with visually plausible perturbations, AUV-Fusion
eliminates the need for injecting fake user profiles and effectively mitigates
the challenge of insufficient user preference extraction inherent in
traditional visual-only attacks. Comprehensive evaluations on diverse VARS
architectures and real-world datasets demonstrate that AUV-Fusion significantly
enhances the exposure of target (cold-start) items compared to conventional
baseline methods. Moreover, AUV-Fusion maintains exceptional stealth under
rigorous scrutiny.",http://arxiv.org/abs/2507.22880v1,http://arxiv.org/pdf/2507.22880v1,http://arxiv.org/abs/2507.22880v1,2025-07-31T20:15:00.191388
RecGPT Technical Report,"Chao Yi, Dian Chen, Gaoyang Guo, Jiakai Tang, Jian Wu, Jing Yu, Sunhao Dai, Wen Chen, Wenjun Yang, Yuning Jiang, Zhujin Gao, Bo Zheng, Chi Li, Dimin Wang, Dixuan Wang, Fan Li, Fan Zhang, Haibin Chen, Haozhuang Liu, Jialin Zhu, Jiamang Wang, Jiawei Wu, Jin Cui, Ju Huang, Kai Zhang, Kan Liu, Lang Tian, Liang Rao, Longbin Li, Lulu Zhao, Mao Zhang, Na He, Peiyang Wang, Qiqi Huang, Tao Luo, Wenbo Su, Xiaoxiao He, Xin Tong, Xu Chen, Xunke Xi, Yang Li, Yaxuan Wu, Yeqiu Yang, Yi Hu, Yinnan Song, Yuchen Li, Yujie Luo, Yujin Yuan, Yuliang Yan, Zhengyang Wang, Zhibo Xiao, Zhixin Ma, Zile Zhou",2025-07-30 17:55:06,"Recommender systems are among the most impactful applications of artificial
intelligence, serving as critical infrastructure connecting users, merchants,
and platforms. However, most current industrial systems remain heavily reliant
on historical co-occurrence patterns and log-fitting objectives, i.e.,
optimizing for past user interactions without explicitly modeling user intent.
This log-fitting approach often leads to overfitting to narrow historical
preferences, failing to capture users' evolving and latent interests. As a
result, it reinforces filter bubbles and long-tail phenomena, ultimately
harming user experience and threatening the sustainability of the whole
recommendation ecosystem.
  To address these challenges, we rethink the overall design paradigm of
recommender systems and propose RecGPT, a next-generation framework that places
user intent at the center of the recommendation pipeline. By integrating large
language models (LLMs) into key stages of user interest mining, item retrieval,
and explanation generation, RecGPT transforms log-fitting recommendation into
an intent-centric process. To effectively align general-purpose LLMs to the
above domain-specific recommendation tasks at scale, RecGPT incorporates a
multi-stage training paradigm, which integrates reasoning-enhanced
pre-alignment and self-training evolution, guided by a Human-LLM cooperative
judge system. Currently, RecGPT has been fully deployed on the Taobao App.
Online experiments demonstrate that RecGPT achieves consistent performance
gains across stakeholders: users benefit from increased content diversity and
satisfaction, merchants and the platform gain greater exposure and conversions.
These comprehensive improvement results across all stakeholders validates that
LLM-driven, intent-centric design can foster a more sustainable and mutually
beneficial recommendation ecosystem.",http://arxiv.org/abs/2507.22879v1,http://arxiv.org/pdf/2507.22879v1,http://arxiv.org/abs/2507.22879v1,2025-07-31T20:15:00.193573
Automatically discovering heuristics in a complex SAT solver with large language models,"Yiwen Sun, Furong Ye, Zhihan Chen, Ke Wei, Shaowei Cai",2025-07-30 17:52:25,"Satisfiability problem (SAT) is a cornerstone of computational complexity
with broad industrial applications, and it remains challenging to optimize
modern SAT solvers in real-world settings due to their intricate architectures.
While automatic configuration frameworks have been developed, they rely on
manually constrained search spaces and yield limited performance gains. This
work introduces a novel paradigm which effectively optimizes complex SAT
solvers via Large Language Models (LLMs), and a tool called AutoModSAT is
developed. Three fundamental challenges are addressed in order to achieve
superior performance: (1) LLM-friendly solver: Systematic guidelines are
proposed for developing a modularized solver to meet LLMs' compatibility,
emphasizing code simplification, information share and bug reduction; (2)
Automatic prompt optimization: An unsupervised automatic prompt optimization
method is introduced to advance the diversity of LLMs' output; (3) Efficient
search strategy: We design a presearch strategy and an EA evolutionary
algorithm for the final efficient and effective discovery of heuristics.
Extensive experiments across a wide range of datasets demonstrate that
AutoModSAT achieves 50% performance improvement over the baseline solver and
achieves 30% superiority against the state-of-the-art (SOTA) solvers. Moreover,
AutoModSAT attains a 20% speedup on average compared to parameter-tuned
alternatives of the SOTA solvers, showcasing the enhanced capability in
handling complex problem instances. This work bridges the gap between AI-driven
heuristics discovery and mission-critical system optimization, and provides
both methodological advancements and empirically validated results for
next-generation complex solver development.",http://arxiv.org/abs/2507.22876v1,http://arxiv.org/pdf/2507.22876v1,http://arxiv.org/abs/2507.22876v1,2025-07-31T20:15:00.193573
Non-periodic Boundary Conditions for Euler Class and Dynamical Signatures of Obstruction,"Osama A. Alsaiari, Adrien Bouhon, Robert-Jan Slager, F. Nur Ünal",2025-07-30 17:49:19,"While the landscape of free-fermion phases has drastically been expanded in
the last decades, recently novel multi-gap topological phases were proposed
where groups of bands can acquire new invariants such as Euler class. As in
conventional single-gap topologies, obstruction plays an inherent role that so
far has only been incidentally addressed. We here systematically investigate
the nuances of the relation between the non-Bravais lattice configurations and
the Brillouin zone boundary conditions (BZBCs) for any number of dimensions.
Clarifying the nomenclature, we provide a general periodictization recipe to
obtain a gauge with an almost Brillouin-zone-periodic Bloch Hamiltonian both
generally and upon imposing a reality condition on Hamiltonians for Euler
class. Focusing on three-band $\mathcal{C}_2$ symmetric Euler systems in two
dimensions as a guiding example, we present a procedure to enumerate the
possible lattice configurations, and thus the unique BZBCs possibilities. We
establish a comprehensive classification for the identified BZBC patterns
according to the parity constraints they impose on the Euler invariant,
highlighting how it extends to more bands and higher dimensions. Moreover, by
building upon previous work utilizing Hopf maps, we illustrate physical
consequences of non-trivial BZBCs in the quench dynamics of non-Bravais lattice
Euler systems, reflecting the parity of the Euler invariant. We numerically
confirm our results and corresponding observable signatures, and discuss
possible experimental implementations. Our work presents a general framework to
study the role of non-trivial boundary conditions and obstructions on multi-gap
topology that can be employed for arbitrary number bands or in higher
dimensions.",http://arxiv.org/abs/2507.22874v1,http://arxiv.org/pdf/2507.22874v1,http://arxiv.org/abs/2507.22874v1,2025-07-31T20:15:00.193573
